mutant1,mutant2,template,passed_test,diff_locations,explored_diffs,elapsed_time_ms
ccn4.xml,tadSyncid9id12.xml,Template1,PASSED,4,4,4
tadSyncid9id12.xml,ccn4.xml,Template1,PASSED,3,3,3
ccn4.xml,tadSyncid6id13.xml,Template3,TIMEOUT,3,3,3
tadSyncid6id13.xml,ccn4.xml,Template2,PASSED,2,2,3
ccn4.xml,tmi9.xml,Template1,PASSED,2,2,7
tmi9.xml,ccn4.xml,Template2,PASSED,3,3,4
ccn4.xml,tadSyncid10id9.xml,Template2,PASSED,4,4,3
tadSyncid10id9.xml,ccn4.xml,Template1,PASSED,3,3,2
ccn4.xml,tadSyncid1id8.xml,Template3,TIMEOUT,3,3,3
tadSyncid1id8.xml,ccn4.xml,Template1,PASSED,2,2,4
ccn4.xml,tadSyncid8id12.xml,Template1,PASSED,4,4,3
tadSyncid8id12.xml,ccn4.xml,Template1,PASSED,3,3,3
ccn4.xml,tadSyncid11id6.xml,Template2,TIMEOUT,4,4,3
tadSyncid11id6.xml,ccn4.xml,Template3,PASSED,3,3,3
ccn4.xml,tadSyncid5id9.xml,Template2,PASSED,4,4,3
tadSyncid5id9.xml,ccn4.xml,Template3,PASSED,3,3,4
ccn4.xml,tadSyncid11id3.xml,Template1,PASSED,4,4,3
tadSyncid11id3.xml,ccn4.xml,Template1,PASSED,3,3,2
ccn4.xml,smiNoRedundantTemplateid10.xml,Template1,PASSED,2,2,3
smiNoRedundantTemplateid10.xml,ccn4.xml,Template1,PASSED,8,8,4
ccn4.xml,tadSyncid1id2.xml,Template1,PASSED,3,3,4
tadSyncid1id2.xml,ccn4.xml,Template1,PASSED,2,2,3
ccn4.xml,tadSyncid11id9.xml,Template3,PASSED,4,4,3
tadSyncid11id9.xml,ccn4.xml,Template1,PASSED,3,3,3
ccn4.xml,tadSyncid4id1.xml,Template3,TIMEOUT,3,3,4
tadSyncid4id1.xml,ccn4.xml,Template2,PASSED,2,2,4
ccn4.xml,smiTemplateid10.xml,Template1,PASSED,2,2,3
smiTemplateid10.xml,ccn4.xml,Template6,TIMEOUT,8,8,4
ccn4.xml,tmi17.xml,Template1,PASSED,2,2,3
tmi17.xml,ccn4.xml,Template3,PASSED,4,4,3
ccn4.xml,smiTemplateid5.xml,Template1,PASSED,2,2,3
smiTemplateid5.xml,ccn4.xml,Template2,PASSED,7,7,3
ccn4.xml,tadSyncid4id10.xml,Template4,TIMEOUT,4,4,3
tadSyncid4id10.xml,ccn4.xml,Template3,PASSED,3,3,3
ccn4.xml,tadSyncid12id13.xml,Template2,PASSED,3,3,7
tadSyncid12id13.xml,ccn4.xml,Template2,PASSED,2,2,3
ccn4.xml,smiTemplateid2.xml,Template1,PASSED,3,3,3
smiTemplateid2.xml,ccn4.xml,Template4,PASSED,5,5,3
ccn4.xml,tadSyncid9id7.xml,Template3,PASSED,4,4,3
tadSyncid9id7.xml,ccn4.xml,Template1,PASSED,3,3,3
